suhu,cuaca,kelembapan,ph
25.82,2,0.35,6.0
24.29,2,0.35,6.0
24.02,2,0.415,6.08
24.82,2,0.444,6.29
26.18,2,0.446,6.2
26.78,0,0.418,6.05
24.88,0,0.41,6.0
25.29,0,0.389,6.0
25.53,0,0.451,6.0
24.94,1,0.476,6.16
24.79,2,0.485,6.0
24.03,2,0.443,6.0
25.33,2,0.425,6.0
24.56,2,0.407,6.08
23.64,2,0.359,6.0
22.93,2,0.35,6.0
23.49,2,0.35,6.06
23.93,2,0.355,6.0
24.09,0,0.35,6.02
24.26,0,0.373,6.0
24.48,0,0.438,6.0
24.78,0,0.526,6.0
24.36,0,0.547,6.1
25.06,2,0.487,6.03
26.45,2,0.476,6.0
24.89,0,0.52,6.0
23.82,0,0.496,6.0
24.24,0,0.469,6.0
25.27,0,0.482,6.0
26.62,0,0.467,6.0
27.6,0,0.444,6.0
28.0,0,0.44,6.29
27.58,0,0.419,6.42
27.48,1,0.392,6.67
27.33,1,0.35,6.76
28.0,1,0.35,6.84
28.0,1,0.354,6.85
28.0,1,0.35,6.78
27.59,1,0.353,6.64
26.73,2,0.395,6.5
28.0,1,0.375,6.42
28.0,1,0.37,6.57
28.0,1,0.363,6.64
27.25,1,0.35,6.76
28.0,1,0.359,6.74
27.62,1,0.357,6.9
27.13,1,0.35,6.94
27.43,1,0.35,6.85
28.0,1,0.35,7.0
28.0,1,0.35,7.0
26.74,1,0.382,7.0
26.39,1,0.412,6.9
